,도시_번호,성별,생일
261,60,M,1997-09-20
262,117,M,1983-11-11
263,18,M,1984-09-14
264,71,M,1988-07-12
265,121,F,1989-09-25
266,22,F,1992-06-11
267,22,F,1983-10-15
268,107,F,1993-02-05
269,33,F,1992-04-22
270,80,M,1986-02-16
271,94,M,1983-01-27
272,69,M,1984-12-21
273,78,F,1991-08-08
274,120,M,1986-07-29
275,13,M,1986-05-07
276,68,F,1991-12-26
277,40,F,1990-12-29
278,86,F,1993-03-19
279,21,F,1989-05-07
280,24,M,1989-09-07
281,84,F,1990-04-16
282,35,M,1985-09-31
283,24,F,1990-10-05
284,50,F,1990-07-04
285,33,F,1993-02-18
286,100,F,1994-02-02
287,9,F,1995-06-30
288,58,M,1989-11-02
289,18,M,1981-07-24
290,35,F,1993-04-08
291,50,F,1989-04-14
292,76,F,1995-10-10
293,84,F,2000-06-01
294,98,F,1993-08-06
295,74,M,1988-10-19
296,103,M,1984-10-31
297,70,M,1986-08-22
298,108,M,1989-06-20
299,102,F,1990-07-21
300,97,F,1995-08-20
301,16,M,1985-09-09
302,123,F,1993-06-28
303,3,F,1993-12-28
304,81,M,1982-05-17
305,25,F,1991-02-19
306,21,M,1995-11-16
307,86,F,1992-10-01
308,117,M,1986-09-21
309,77,F,1990-12-14
310,47,M,1988-08-30
311,48,F,1992-12-31
312,45,M,1985-03-22
313,79,M,1986-11-28
314,43,F,1983-05-02
315,85,M,1988-07-12
316,101,F,1991-06-16
317,75,M,1988-08-10
318,99,M,1995-06-03
319,39,F,1992-04-28
320,18,F,1990-08-13
321,105,F,1991-02-24
322,5,F,1991-08-20
323,94,M,1989-03-19
324,97,F,1992-12-12
325,107,F,1995-07-30
326,18,F,2000-06-01
327,40,M,1986-02-16
328,72,F,1995-04-04
329,119,M,1990-05-15
330,40,F,2000-06-01
331,121,F,1992-07-23
332,83,M,1985-09-09
333,46,F,1992-06-18
334,106,F,1993-12-22
335,29,M,1987-05-10
336,99,F,1990-02-26
337,95,M,1984-07-07
338,24,F,1993-02-05
339,78,F,1993-02-14
340,41,F,1994-02-14
341,93,M,1981-10-26
342,89,F,1995-08-20
343,78,F,1995-10-14
344,41,M,1986-11-30
345,117,F,1995-11-20
346,119,M,1984-09-14
347,97,F,1994-06-30
348,89,M,1991-10-26
349,45,M,1984-11-04
350,15,F,1994-02-02
351,28,M,1983-11-23
352,74,M,1985-07-17
353,51,F,1992-10-19
354,16,F,1992-12-05
355,52,F,1990-11-13
356,40,F,1992-06-08
357,15,M,1986-05-07
358,14,M,1982-01-01
359,45,F,1993-06-01
360,112,M,1981-02-11
361,3,M,1985-05-14
362,107,M,1987-06-27
363,36,F,1991-04-04
364,22,F,1987-11-27
365,117,F,1991-06-15
366,29,F,1992-04-16
367,2,F,1992-04-23
368,26,F,1989-02-07
369,125,F,1995-12-04
370,39,M,1995-05-10
371,28,M,1983-01-06
372,8,F,1990-10-29
373,23,M,1984-07-07
374,76,F,1992-04-28
375,74,F,1992-12-05
376,107,M,1989-03-03
377,71,F,1992-12-05
378,20,F,1990-02-02
379,74,M,1984-03-20
380,98,F,1991-08-30
381,54,F,1995-06-30
382,96,F,1990-11-13
383,122,M,1984-01-29
384,121,F,1991-06-04
385,110,F,1990-10-03
386,38,F,1995-04-18
387,74,F,1992-08-18
388,97,F,1998-05-22
389,43,M,1984-09-09
390,43,F,1995-12-05
391,69,F,1995-04-06
392,110,M,1986-05-07
393,113,F,1991-08-10
394,50,M,1989-09-07
395,29,M,1988-03-07
396,8,M,1988-11-23
397,72,M,1984-03-06
398,41,M,1982-05-17
399,60,M,1982-05-17
400,10,F,1989-02-07
401,24,F,1991-01-03
402,71,F,1991-08-20
403,60,M,1984-10-07
404,16,M,1983-01-03
405,27,F,1990-08-22
406,78,M,1982-05-17
407,110,F,1991-08-20
408,101,M,1986-01-11
409,98,F,1993-03-19
410,59,M,1990-05-15
411,108,M,1983-09-28
412,102,M,1986-05-02
413,121,M,1985-09-30
414,105,M,1988-11-08
415,123,F,1992-10-01
416,8,F,1995-04-25
417,31,F,1990-05-26
418,20,M,1986-11-03
419,47,F,1994-10-27
420,10,F,2001-12-01
421,78,M,1988-10-19
422,96,F,1994-09-05
423,10,F,1995-08-17
424,37,M,1985-07-17
425,35,M,1984-10-31
426,90,M,1997-09-20
427,69,F,1992-08-01
428,21,F,1992-04-28
429,115,F,1990-07-16
430,87,F,1992-12-24
431,16,F,1987-04-09
432,96,M,1987-11-25
433,23,M,1983-05-12
434,15,F,1991-02-06
435,117,M,1995-05-10
436,22,F,1995-08-17
437,14,F,1991-10-03
438,110,M,1983-01-30
439,112,M,1985-07-21
440,33,F,1994-12-19
441,56,M,1984-07-07
442,101,F,1992-10-19
443,67,M,1984-09-11
444,2,F,1991-02-19
445,69,M,1988-03-03
446,56,F,1995-04-07
447,35,M,1985-09-31
448,85,M,1988-01-18
449,41,F,1990-10-29
450,59,M,1981-03-27
451,52,F,1993-02-05
452,22,M,1984-01-29
453,103,M,1986-01-25
454,83,F,1993-12-24
455,51,M,1986-11-30
456,36,M,1988-08-30
457,110,M,1985-02-04
458,48,M,1988-08-05
459,112,M,1985-11-27
460,46,M,1995-06-18
461,47,M,1985-11-27
462,72,M,1988-05-31
463,119,F,1991-02-14
464,120,F,1990-05-26
465,58,F,1993-12-22
466,52,F,1993-04-21
467,93,F,1993-06-01
468,35,F,1993-01-15
469,63,M,1989-11-02
470,60,F,1990-07-16
471,50,M,1984-08-17
472,52,F,1991-06-25
473,61,F,1990-10-02
474,10,M,1986-01-04
475,108,F,1986-08-13
476,121,M,1988-03-01
477,35,F,1990-08-22
478,120,F,1992-02-31
479,98,M,1988-08-05
480,111,F,1992-02-26
481,92,M,1986-08-22
482,50,F,1996-04-09
483,17,M,1988-07-12
484,55,M,1989-11-02
485,24,M,1986-05-09
486,77,F,2004-08-17
487,78,M,1981-03-27
488,10,M,1984-10-07
489,84,M,1986-07-07
490,28,M,1988-03-01
491,30,F,1995-12-10
492,41,M,1989-03-22
493,97,F,1990-11-13
494,115,F,1991-04-09
495,76,M,1986-09-02
496,61,F,1990-05-26
497,28,M,1985-07-02
498,123,M,1989-06-20
499,79,F,1980-05-15
500,74,M,1995-05-10
501,7,M,1990-10-30
502,27,M,1990-01-15
503,121,M,1985-09-30
504,40,F,1992-04-04
505,75,F,1991-08-08
506,41,M,1989-12-09
507,16,M,1995-05-10
508,22,M,1986-01-15
509,103,M,1986-01-13
510,42,M,1985-11-23
511,115,M,1988-07-19
512,12,F,1993-08-01
513,42,M,1986-04-20
514,16,M,1989-06-20
515,21,F,1991-12-09
516,59,M,1986-07-28
517,101,M,1985-01-01
518,63,M,1985-07-05
519,36,M,1984-12-21
520,111,F,1990-11-13
521,84,F,1982-05-25
522,62,M,1986-11-03
523,59,F,1992-08-18
524,95,F,1990-07-04
525,51,M,1986-09-08
526,109,F,1990-10-03
527,13,M,1988-05-31
528,111,M,1987-11-09
529,73,F,1992-04-28
530,124,M,1986-11-28
531,118,M,1986-01-04
532,100,M,1986-05-09
533,95,M,1986-04-06
534,67,M,1984-09-14
535,93,M,1984-09-09
536,3,M,1986-05-05
537,5,M,1985-07-02
538,87,M,1986-01-25
539,85,F,1991-02-24
540,104,M,1985-03-25
541,96,F,1993-02-05
542,36,M,1988-07-26
543,78,F,1991-11-11
544,50,F,1993-12-24
545,63,F,1992-08-18
546,30,F,2004-08-17
547,11,M,1985-07-17
548,114,F,1992-12-24
549,60,F,1992-07-21
550,120,F,1990-10-22
551,18,M,1988-01-18
552,46,M,1984-03-20
553,65,M,1987-11-25
554,122,F,1995-06-18
555,105,F,1992-12-05
556,52,F,1992-12-12
557,121,M,1985-01-20
558,122,F,1995-08-15
559,51,F,1991-02-06
560,95,F,1991-08-30
561,75,F,1990-04-16
562,22,M,1989-09-23
563,20,F,1990-12-29
564,96,M,1985-09-31
565,35,M,1989-05-22
566,107,F,1992-06-08
567,103,M,1986-09-18
568,71,M,1986-09-02
569,19,M,1984-11-15
570,125,M,1991-03-08
571,6,F,1989-05-07
572,64,F,1993-06-28
573,116,M,1986-01-04
574,73,M,1987-01-13
575,83,M,1987-04-13
576,57,M,1986-09-02
577,73,F,1993-04-25
578,72,F,1991-08-20
579,81,M,1987-07-14
580,29,F,1992-08-25
581,75,M,1988-08-10
582,4,M,1990-01-01
583,103,F,1992-04-16
584,18,F,1992-12-12
585,84,M,1986-01-13
586,59,M,1984-11-04
587,35,F,1987-11-27
588,31,F,1995-07-30
589,34,M,1987-07-14
590,1,F,1990-10-08
591,68,F,1995-08-05
592,35,M,1983-05-29
593,18,M,1989-09-07
594,25,M,2002-03-03
595,98,M,1989-11-02
596,115,M,1986-09-08
597,72,M,1991-10-26
598,96,F,1991-08-31
599,73,M,1984-02-14
600,6,M,1986-09-21
601,101,F,1992-02-12
602,63,M,1985-07-05
603,60,F,1991-06-25
604,121,F,2004-08-17
605,8,F,1989-10-20
606,2,F,1991-12-16
607,112,M,1983-01-30
608,92,F,1991-08-31
609,32,F,1996-04-09
610,66,F,1987-07-19
611,37,F,1992-04-28
612,111,F,1991-09-11
613,71,F,1991-04-11
614,112,M,1985-07-07
615,72,F,1991-09-11
616,104,M,1985-03-25
617,41,M,1983-11-23
618,69,F,1992-10-07
619,122,F,1993-07-09
620,70,M,1983-11-23
621,117,F,1990-04-16
622,76,M,1989-05-22
623,72,M,1990-05-15
624,91,F,1990-12-03
625,47,F,1990-08-13
626,3,F,1993-06-06
627,40,F,1994-02-02
628,68,F,1990-10-08
629,6,F,1991-06-20
630,55,F,1992-12-07
631,50,F,1993-06-06
632,119,F,1993-12-21
633,93,M,1989-03-03
634,108,M,1981-07-24
635,31,F,1990-02-26
636,34,M,1985-07-07
637,65,F,1991-06-16
638,34,M,1986-05-02
639,112,M,1986-09-16
640,123,F,1986-03-31
641,27,F,1990-04-16
642,24,M,1987-09-26
643,37,M,1986-01-13
644,23,F,1991-09-01
645,56,F,1992-07-23
646,118,F,1992-03-12
647,94,M,1989-05-22
648,16,M,1989-09-23
649,109,M,1983-09-01
650,72,F,1992-02-31
651,24,M,1981-10-26
652,33,F,1991-04-04
653,112,F,1992-08-29
654,23,M,1985-03-22
655,61,M,1984-09-11
656,38,M,1986-04-06
657,78,M,1986-09-04
658,92,M,1991-03-08
659,104,F,1991-09-06
660,89,M,1985-05-17
661,17,M,1985-03-22
662,36,M,1982-01-01
663,74,M,1986-02-16
664,93,M,1988-07-12
665,7,M,1985-05-14
666,51,F,1991-08-20
667,75,F,1994-08-20
668,106,F,1991-06-27
669,30,F,1987-02-02
670,86,F,1983-05-02
671,92,M,1988-11-01
672,74,F,1995-06-30
673,116,F,1991-04-09
674,56,M,1984-10-24
675,93,M,1983-08-17
676,67,F,1990-08-13
677,78,F,1995-04-28
678,14,M,1980-05-05
679,25,F,1991-08-20
680,88,M,1987-03-05
681,4,F,1989-10-20
682,92,M,1985-11-27
683,18,F,2000-06-01
684,70,M,1988-08-10
685,53,F,1986-04-04
686,92,M,1984-09-21
687,58,M,1985-05-17
688,99,F,1975-12-15
689,56,F,1990-05-26
690,66,M,1988-02-30
691,84,M,1983-11-11
692,15,M,1989-03-27
693,78,M,1990-01-01
694,96,M,1982-01-01
695,59,M,1990-10-30
696,12,F,1991-08-20
697,119,M,1986-01-17
698,88,M,1988-03-03
699,107,M,1992-11-30
700,18,M,1985-07-31
701,48,M,1985-05-21
702,18,M,1986-01-15
703,113,M,1989-07-31
704,85,M,1991-03-08
705,15,M,1988-07-12
706,115,F,1982-05-25
707,63,M,1986-06-15
708,91,M,1985-09-30
709,2,M,1984-11-04
710,51,F,1992-07-23
711,121,F,1989-02-07
712,83,F,1989-10-20
713,6,M,1984-10-31
714,31,F,1990-06-30
715,103,M,1990-05-15
716,83,F,1991-10-22
717,94,M,1982-05-17
718,76,F,1993-08-06
719,8,M,1984-04-01
720,47,F,1991-06-15
721,36,M,1988-03-03
722,50,M,1985-02-23
723,7,M,1986-01-10
724,76,M,1986-01-04
725,121,M,1988-08-10
726,105,F,1991-12-16
727,114,F,1992-12-12
728,10,M,1984-04-01
729,54,M,1984-10-31
730,86,F,1983-05-02
731,61,M,1986-09-21
732,27,M,1993-03-09
733,105,M,1986-04-20
734,90,F,1992-04-04
735,74,F,1995-04-06
736,42,F,1992-08-12
737,37,M,1988-07-09
738,97,F,1991-02-24
739,93,M,1986-01-17
740,113,M,1981-03-27
741,84,M,1995-06-03
742,30,M,1988-09-21
743,72,F,1990-12-03
744,53,F,1993-02-18
745,87,F,1990-10-22
746,123,M,1990-05-15
747,22,M,1985-07-11
748,120,M,1991-10-26
749,123,F,1995-08-17
750,7,M,1994-11-21
751,61,M,1985-03-22
752,101,M,1985-05-17
753,72,M,1986-07-29
754,51,M,1980-05-05
755,49,F,1993-06-01
756,76,F,1992-10-01
757,102,F,1993-06-01
758,47,F,1991-10-10
759,108,M,1995-11-16
760,21,M,1984-07-12
761,35,M,1985-03-25
762,52,F,1987-07-19
763,21,M,1985-07-11
764,75,F,1987-02-02
765,9,F,1993-02-14
766,95,M,1989-03-19
767,58,F,1991-08-10
768,31,F,1992-02-16
769,31,F,1990-06-10
770,6,M,1988-02-30
771,45,F,1993-06-06
772,22,F,1990-06-30
773,32,M,1986-07-29
774,114,M,1986-03-08
775,41,F,1992-09-30
776,31,M,1983-11-23
777,13,M,1990-03-15
778,112,F,1987-02-02
779,40,F,1995-07-30
780,122,M,1985-11-13
781,8,F,1992-02-26
782,15,F,1992-07-21
783,86,F,1994-11-22
784,107,M,1984-11-20
785,65,F,1986-04-04
786,88,F,1991-12-09
787,54,F,1991-02-19
788,63,F,1991-06-20
789,91,F,1995-04-07
790,105,F,1983-10-15
791,99,F,1993-03-24
792,54,F,1994-05-14
793,116,F,1986-04-04
794,25,F,1995-06-30
795,67,M,1986-07-07
796,20,F,1995-10-10
797,72,M,1986-08-22
798,60,F,1991-09-01
799,31,F,1994-09-05
800,76,M,1984-09-21
801,77,F,1993-02-11
802,33,M,1986-05-09
803,39,F,1993-03-19
804,124,F,1993-06-06
805,77,F,1994-08-20
806,42,F,1992-07-21
807,124,F,1998-05-22
808,42,F,1994-04-01
809,38,F,1995-04-07
810,45,M,1985-05-21
811,109,F,1995-04-07
812,38,F,1993-03-24
813,83,F,1991-04-04
814,91,F,1990-02-23
815,62,M,1986-05-05
816,95,F,1990-02-26
817,99,M,1984-12-21
818,86,M,1986-11-28
819,22,M,1985-01-01
820,3,F,1995-11-20
821,20,M,1984-03-06
822,51,F,1992-10-19
823,66,M,1986-01-04
824,117,F,1990-04-26
825,109,F,1992-06-06
826,110,F,1992-02-16
827,89,F,1992-08-29
828,39,M,1989-06-20
829,112,F,1995-04-18
830,2,F,1990-12-29
831,21,F,1991-12-09
832,36,F,1995-08-27
833,31,F,1991-12-16
834,82,M,1986-01-11
835,7,F,1992-10-01
836,106,F,1982-05-25
837,24,F,1994-12-19
838,30,F,1992-08-25
839,90,F,1990-10-22
840,55,M,1989-03-17
841,109,F,1986-03-31
842,118,F,1993-01-15
843,51,F,1992-08-25
844,104,M,2010-11-20
845,28,M,1986-05-09
846,65,M,1987-09-26
847,59,M,1983-08-24
848,82,F,1982-05-25
849,96,F,1993-04-21
850,8,F,1991-06-25
851,56,M,1983-01-06
852,29,F,1993-10-10
853,113,F,1991-08-31
854,124,F,1990-02-26
855,103,F,1990-05-21
856,84,F,1992-04-04
857,16,F,1992-02-31
858,86,F,1989-09-25
859,78,M,1985-09-31
860,7,M,1995-05-10
861,32,M,1984-03-06
862,78,M,1985-07-31
863,84,M,1986-09-02
864,55,F,1994-06-30
865,9,F,1993-12-28
866,99,F,1995-04-02
867,40,M,1984-03-20
868,98,F,1992-03-12
869,77,M,1983-09-01
870,85,M,1985-07-02
871,107,M,1984-09-14
872,84,F,1993-02-14
873,27,F,1993-08-06
874,22,M,1983-01-06
875,61,F,1995-01-10
876,49,F,1989-04-16
877,81,M,1990-03-15
878,18,M,1985-05-17
879,100,F,1991-12-02
880,57,F,1992-06-11
881,63,M,1986-06-15
882,19,F,1995-04-18
883,83,F,1995-04-02
884,118,F,1990-02-02
885,3,M,1995-05-10
886,116,M,1985-03-25
887,33,F,1994-10-31
888,57,F,1993-12-22
889,79,F,1995-12-04
890,30,F,1993-08-06
891,8,M,1986-01-15
892,83,M,1985-02-18
893,102,F,1992-06-11
894,27,M,1986-09-04
895,24,M,1995-11-16
896,10,F,1990-12-17
897,111,M,1988-10-19
898,67,M,1988-07-12
899,105,M,1997-09-20
900,18,M,1987-05-29
901,105,M,1985-05-17
902,62,M,2002-03-03
903,32,F,1992-06-18
904,86,M,1979-10-14
905,62,M,1985-11-13
906,115,F,1992-10-01
907,35,F,1983-05-02
908,98,F,1992-12-24
909,33,M,1985-07-02
910,24,M,1986-05-07
911,36,F,1987-02-02
912,111,M,1989-07-19
913,34,M,1985-11-13
914,11,F,1992-10-19
915,79,F,1992-08-12
916,75,M,1982-05-17
917,8,F,1992-12-07
918,38,F,1991-08-03
919,75,M,1989-07-04
920,3,F,1991-01-03
921,35,M,1982-05-17
922,102,F,1992-08-18
923,86,M,1988-07-26
924,69,F,1990-10-08
925,33,M,1986-01-13
926,100,M,1988-08-10
927,39,M,1990-01-15
928,40,M,1988-03-07
929,120,M,1984-10-31
930,101,M,1984-07-31
931,76,M,1985-01-20
932,49,M,1987-09-26
933,86,F,1995-06-23
934,109,F,1989-04-14
935,91,F,1989-02-07
936,4,F,1995-04-06
937,73,F,1990-02-23
938,12,M,1985-01-08
939,122,F,1992-02-31
940,51,M,1983-05-26
941,22,F,1982-05-25
942,111,M,1985-03-22
943,54,F,1992-08-01
944,16,M,1987-11-30
945,70,F,1991-01-03
946,35,M,1988-03-07
947,103,F,1991-02-14
948,110,F,1995-12-10
949,10,M,1994-11-21
950,93,F,1993-06-28
951,98,M,1985-01-01
952,59,M,1988-07-12
953,124,M,1986-01-11
954,25,M,2002-03-03
955,114,F,1990-12-14
956,67,F,1990-12-03
957,6,F,1992-06-08
958,112,M,1984-06-18
959,83,M,1984-05-03
960,107,F,1991-12-16
961,120,F,1993-04-21
962,1,M,1985-03-25
963,26,M,1986-04-06
964,91,M,1983-01-03
965,78,M,1985-01-01
966,118,M,1981-07-24
967,59,F,1991-02-19
968,61,M,1983-05-29
969,37,M,1995-05-10
970,112,M,1994-03-03
971,48,F,1994-02-26
972,26,F,1994-06-30
973,58,F,1993-08-01
974,32,M,1984-09-11
975,3,F,1991-06-18
976,4,M,1984-09-11
977,111,F,1990-02-02
978,125,M,1985-04-18
979,65,M,1987-05-29
980,74,F,1993-09-23
981,27,M,1987-11-25
982,27,F,1991-06-04
983,8,M,1987-01-13
984,72,F,1991-02-14
985,13,F,1989-02-07
986,41,M,1986-03-08
987,109,M,1982-05-17
988,17,M,1985-07-05
989,76,F,1995-08-05
990,107,F,1990-11-13
991,120,M,1985-03-27
992,103,F,1995-06-11
993,75,F,1992-06-11
994,19,M,1988-01-18
995,119,F,1990-12-14
996,51,M,1985-01-01
997,89,F,1993-04-21
998,43,F,1994-02-14
999,87,F,1990-05-15
1000,34,F,1994-04-01
1001,44,M,1986-01-10
1002,43,F,1995-06-23
1003,6,F,1992-12-05
1004,35,F,1992-04-23
1005,107,F,1993-02-05
1006,123,F,1995-06-11
1007,93,M,1985-01-01
1008,57,F,1991-09-11
1009,38,M,1984-05-27
1010,62,M,1995-05-10
1011,105,M,1990-05-15
1012,88,M,1983-08-24
1013,72,M,1994-11-21
1014,84,F,1993-12-12
1015,53,F,1992-12-05
1016,89,M,1992-11-30
1017,124,F,1995-07-30
1018,60,M,1988-03-03
1019,47,F,1992-12-12
1020,80,M,1985-07-17
1021,90,M,1986-01-11
1022,56,M,1990-03-15
1023,82,M,1984-07-31
1024,77,M,1984-08-17
1025,72,M,1986-01-13
1026,101,M,1987-06-27
1027,38,F,1992-04-13
1028,30,M,1986-05-05
1029,4,F,1991-10-03
1030,53,F,1994-02-14
1031,122,M,1988-07-19
1032,31,M,1986-09-21
1033,108,M,1984-03-20
1034,40,M,1983-11-23
1035,103,F,1990-10-29
1036,84,F,1990-05-21
1037,110,M,1989-09-13
1038,40,M,1986-08-22
1039,80,F,1987-04-09
1040,109,F,1993-04-21
1041,57,F,1993-06-01
1042,26,M,1986-01-13
1043,22,M,1986-01-10
1044,93,F,1975-12-15
1045,95,F,1995-03-10
1046,118,M,1980-05-05
1047,74,M,1987-09-26
1048,109,M,1982-11-11
1049,99,F,1995-01-10
1050,119,F,1994-08-08
1051,56,F,1993-02-05
1052,63,F,1991-04-11
1053,21,F,1990-08-13
1054,119,F,1989-09-25
1055,83,F,1992-12-12
1056,112,M,1994-11-21
1057,101,F,1991-02-24
1058,19,M,1984-03-06
1059,88,F,1992-10-19
1060,33,M,1987-03-24
1061,46,M,1988-11-11
1062,61,M,1995-11-16
1063,109,F,1986-04-04
1064,68,M,1986-01-13
1065,103,M,1983-11-11
1066,81,F,1994-06-30
1067,29,F,1993-08-06
1068,20,M,1986-01-10
1069,26,M,1984-09-21
